,,Dataset,,,Africa,,,,,Americas,,,,,,Asia,,,,,,Europe,,,,Pacific Region,,,
Sweet potatoes,Ipomoea batatas (L.) Lam.,x,x,x,,,,,,,x,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with region further refined for tropical South America, Castañeda-Álvarez (2016)"
"Sweeteners, other",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Tangerines & mandarins,"Tangerines (Citrus tangerina Tanaka), Mandarins (Citrus reticulata Blanco)",,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,"Zeven and Zhukovsky (1975),  Castañeda-Álvarez (2016)"
Taro,Colocasia esculenta (L.) Schott,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,x,,"Hawkes (1983), Zeven and Zhukovsky (1975), South and Southeast Asia- as determined from contributing species (Colocasia) (see Table 1, Khoury et al. (2014) Regions GRIN (2014). Tropical Pacific Region- Engels et al. (2001)"
Tea (group commodity),"Tea (Camellia sinensis (L.) Kuntze), Yerba Maté (Ilex paraguariensis A. St.-Hil.)",x,,,,,,,,,,,,x,x,,x,x,x,,,,,,,,,,"Hawkes (1983), Asia- as determined from contributing species (Camellia) (see Table 1, Khoury et al. (2014) (Tea native to S, E and SE Asia) GRIN (2014). South America- as determined from contributing species (Ilex) (see Table 1, Khoury et al. (2014) (Mate native to Paraguay, Uruguay, Brazil, Argentina) GRIN (2014) "
Tea,Camellia sinensis (L.) Kuntze,,x,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,"Hawkes (1983), GRIN (2014) "
Tea nes,Not specified,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,
Tomatoes,Solanum lycopersicum L.,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with region further refined,  Castañeda-Álvarez (2016)"
Treenuts,Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Triticale,× Triticosecale Wittm. ex A. Camus,,x,x,,,,,,,,,,,,x,,,,x,x,,,,,,,,"Flores-Palacios (1998), for wheat and rye"
Vanilla,Vanilla Mill spp. ,,x,x,,,,,,x,x,,,,x,,,,,,,,,,,,,,GRIN (2014)
Vegetables fresh nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
Vegetables leguminous nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
"Vegetables, other",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Vetches,Vicia L. spp. (aside from Vicia faba L.),,x,x,,,,,,,,,,,,,,,,,,,x,,x,,,,Castañeda-Álvarez (2016)
Walnuts,Juglans regia L.,,x,x,,,,,,,,,,,,x,,x,,x,,,x,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), GRIN (2014)"
Watermelons,Citrullus lanatus (Thunb.) Matsum. & Nakai,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,"GRIN (2014), Castañeda-Álvarez (2016)"
Wheat,"Triticum aestivum L., Triticum turgidum L. (or Triticum durum Desf.), other Triticum L. spp. ",x,x,x,,,,,,,,,,,,x,,,,x,x,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998). SE Med added due to presence of early crop and wild relatives in region GRIN (2014), Castañeda-Álvarez (2016)"
Yams,"Dioscorea rotundata Poir., Dioscorea cayenensis Lam, Dioscorea alata L.",x,x,x,,,,,x,,,,,,x,,,x,x,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), South and Southeast Asia, and West Africa- Flores-Palacios (1998). Tropical South America- Added for D. trifida, native to Guyana, other tropical S America GRIN (2014), Castañeda-Álvarez (2016)"
Yautia,"Xanthosoma violaceum Schott, Xanthosoma sagittifolium (L.) Schott",,x,x,,,,,,x,x,,,,x,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014), Castañeda-Álvarez (2016)"
